country,year,IT.NET.BBND.P2
Argentina,2020,21.17800217
Argentina,2019,19.63610555
Argentina,2018,19.10152239
Argentina,2017,17.84999661
Argentina,2016,16.66727115
Argentina,2015,15.91589272
Argentina,2014,15.29042819
Argentina,2013,14.81423726
Argentina,2012,12.33040075
Argentina,2011,11.0647814
Argentina,2010,9.850015718
Argentina,2009,8.672885869
Argentina,2008,7.771278857
Argentina,2007,6.551710192
Argentina,2006,4.030842244
Argentina,2005,2.382751765
Argentina,2004,1.410369414
Argentina,2003,0.679610106
Argentina,2002,0.392763085
Argentina,2001,0.252175334
Argentina,2000,
World,2020,17.1156646503821
World,2019,15.581459181329
World,2018,14.5838693430901
World,2017,13.7598600044749
World,2016,12.4311405749647
World,2015,11.5198569826696
World,2014,10.1948455455316
World,2013,9.77546326086255
World,2012,9.35553815455695
World,2011,8.98553551099433
World,2010,7.84824913761789
World,2009,7.09828721836645
World,2008,6.25903792612275
World,2007,5.37113451940845
World,2006,4.65330608948649
World,2005,3.65881126933255
World,2004,2.94347283102021
World,2003,1.97595503526117
World,2002,1.34241760349228
World,2001,0.837601435731048
World,2000,
